CalculatedMoleFraction,InitialMoleFraction,RelativeDifferencePercent,Pressure,Temperature
4.61315158261964e+256,0.0043,100,300,308
2.42464203743181e+257,0.00431,100,300,308
1.26618653743221e+258,0.00432,100,300,308
6.56995825794255e+258,0.00433,100,300,308
3.38732591118242e+259,0.00434,100,300,308
1.73538287824678e+260,0.00435,100,300,308
8.83470342354594e+260,0.00436,100,300,308
4.46952402528144e+261,0.00437,100,300,308
2.24707414501657e+262,0.00438,100,300,308
1.12272772370487e+263,0.00439,100,300,308
5.57501964397833e+263,0.0044,100,300,308
2.75135838341303e+264,0.00441,100,300,308
1.34955482370717e+265,0.00442,100,300,308
6.57945936399894e+265,0.00443,100,300,308
3.18830458430784e+266,0.00444,100,300,308
1.53572279208529e+267,0.00445,100,300,308
7.35296854710825e+267,0.00446,100,300,308
3.49963512774188e+268,0.00447,100,300,308
1.6557937650456e+269,0.00448,100,300,308
7.78800606601064e+269,0.00449,100,300,308
3.64163099810102e+270,0.0045,100,300,308
1.69288780761501e+271,0.00451,100,300,308
7.82412677224449e+271,0.00452,100,300,308
3.59527265183345e+272,0.00453,100,300,308
1.64258834787463e+273,0.00454,100,300,308
7.46172457679355e+273,0.00455,100,300,308
3.37035612552505e+274,0.00456,100,300,308
1.51373871342613e+275,0.00457,100,300,308
6.76047097933748e+275,0.00458,100,300,308
3.00238357661123e+276,0.00459,100,300,308
1.32596109895953e+277,0.0046,100,300,308
5.82348402547158e+277,0.00461,100,300,308
2.54351630168182e+278,0.00462,100,300,308
1.10483556576336e+279,0.00463,100,300,308
4.77291965087109e+279,0.00464,100,300,308
2.0507170886375e+280,0.00465,100,300,308
8.76343242832833e+280,0.00466,100,300,308
3.72478522748326e+281,0.00467,100,300,308
1.57470168461478e+282,0.00468,100,300,308
6.62181271478168e+282,0.00469,100,300,308
2.76980023485327e+283,0.0047,100,300,308
1.1524558253892e+284,0.00471,100,300,308
4.76997025046196e+284,0.00472,100,300,308
1.96396516454259e+285,0.00473,100,300,308
8.04432720979167e+285,0.00474,100,300,308
3.27789131771344e+286,0.00475,100,300,308
1.32879875619295e+287,0.00476,100,300,308
5.35913392923658e+287,0.00477,100,300,308
2.15036194589053e+288,0.00478,100,300,308
8.58461517436329e+288,0.00479,100,300,308
3.40983285280062e+289,0.0048,100,300,308
1.34759365326652e+290,0.00481,100,300,308
5.29918370441319e+290,0.00482,100,300,308
2.07345026608074e+291,0.00483,100,300,308
8.07278356629125e+291,0.00484,100,300,308
3.12757963535894e+292,0.00485,100,300,308
1.20575508369231e+293,0.00486,100,300,308
4.62578767287096e+293,0.00487,100,300,308
1.76603090757845e+294,0.00488,100,300,308
6.70976018729063e+294,0.00489,100,300,308
2.53700781841393e+295,0.0049,100,300,308
9.54668677773528e+295,0.00491,100,300,308
3.57527532735762e+296,0.00492,100,300,308
1.33260698719975e+297,0.00493,100,300,308
4.55913317528916e+145,0.0079,100,300,308
6.47717872622574e+145,0.00791,100,300,308
9.20060799766592e+145,0.00792,100,300,308
1.30669653800776e+146,0.00793,100,300,308
1.85550034379502e+146,0.00794,100,300,308
2.63436495510626e+146,0.00795,100,300,308
3.73955528576663e+146,0.00796,100,300,308
5.30754401628194e+146,0.00797,100,300,308
7.53177587802009e+146,0.00798,100,300,308
1.06864095965436e+147,0.00799,100,300,308
1.51599368440045e+147,0.008,100,300,308
2.15027802966586e+147,0.00801,100,300,308
3.0494673773986e+147,0.00802,100,300,308
4.32400324340732e+147,0.00803,100,300,308
6.13029211460302e+147,0.00804,100,300,308
8.68980355887384e+147,0.00805,100,300,308
1.23160904072353e+148,0.00806,100,300,308
1.74530118736112e+148,0.00807,100,300,308
2.47287970881966e+148,0.00808,100,300,308
3.50325032182674e+148,0.00809,100,300,308
4.96221300242903e+148,0.0081,100,300,308
7.02774772825008e+148,0.00811,100,300,308
9.95162330402696e+148,0.00812,100,300,308
1.40899408412183e+149,0.00813,100,300,308
1.99463004758178e+149,0.00814,100,300,308
2.82328004310482e+149,0.00815,100,300,308
3.99562239356909e+149,0.00816,100,300,308
5.65397990581229e+149,0.00817,100,300,308
